SIMULATION SUMMARY
MapName,RoutingAlgorithm,Version,TotalVehicles,LateVehicles,TotalTravelTime,AvgTravelTime,TotalTimeWindowDeviation,AvgTimeWindowDeviation,TotalAlgorithmTime,AvgAlgorithmTime,ObjectiveFunctionValue,Timestamp
erlangen,ShortestPath,2.0,32,15,2192,68.5,276.969,8.65528,0.0030013,9.37906e-005,2468.97,2025-06-10 10:35:16

VEHICLE STATISTICS
VehicleID,StartRoad,TargetRoad,StartTime,EndTime,TravelTime,EarliestArrival,LatestArrival,TimeWindowDeviation,ArrivedOnTime,PathLength,AlgorithmTime
16,873,1242,1,50,49,45.033,58.8893,0,Yes,481.16,0
22,60,79,1,17,16,12.6013,16.4786,0.521382,Yes,134.64,0
28,-831,1026,1,66,65,55.2121,72.2004,0,Yes,589.92,0
34,-592,202,1,48,47,42.6604,55.7867,0,Yes,455.81,0
40,-588,2128,1,183,182,100.057,130.844,52.1563,No,1069.07,0
46,-1755,E10,1,23,22,19.1949,25.101,0,Yes,205.09,0.0010003
52,2151,-2149,1,67,66,24.6588,32.2461,34.7539,No,263.47,0
58,831,-1470,1,60,59,47.7977,62.5047,0,Yes,510.7,0
64,-5,1774,1,66,65,64.6546,84.5484,0,Yes,690.81,0
70,474,-2230,1,45,44,52.1909,68.2497,7.19093,No,557.64,0
76,109,131,1,21,20,21.9605,28.7176,0.960547,No,234.64,0
82,58,1249,1,272,271,92.4451,120.89,151.11,No,987.74,0
88,-3,-2238,1,112,111,109.018,142.563,0,Yes,1164.82,0.0010012
94,583,-2173,1,95,94,92.4507,120.897,0,Yes,987.8,0
100,-2182,-1994,1,31,30,34.5169,45.1375,3.51692,No,368.8,0
106,64,120,1,23,22,22.5867,29.5364,0,No,241.33,0
112,-219,991,1,42,41,41.6861,54.5126,0,No,445.4,0
118,-172,-2020,1,78,77,57.0259,74.5724,3.42765,No,609.3,0
124,1992,-462,1,25,24,26.2087,34.2729,1.20871,No,280.03,0
130,144,-1972,1,123,122,111.977,146.431,0,Yes,1196.43,0
136,162,-1785,1,149,148,102.161,133.595,15.405,No,1091.55,0.0009998
142,31,-79,1,36,35,25.2026,32.9572,3.04276,No,269.28,0
148,587,27,1,23,22,20.8487,27.2636,0,Yes,222.76,0
154,-854,1004,1,32,31,22.4875,29.4067,2.5933,No,240.27,0
160,45,-2214,1,126,125,97.9867,128.136,0,Yes,1046.95,0
166,-37,1259,1,102,101,86.0106,112.475,0,Yes,918.99,0
172,879,-991,1,34,33,35.0813,45.8755,1.08128,No,374.83,0
178,865,-1737,1,118,117,115.995,151.686,0,Yes,1239.36,0
184,1148,1205,1,35,34,32.1378,42.0263,0,Yes,343.38,0
190,1597,-1946,1,43,42,40.0108,52.3218,0,Yes,427.5,0
196,-1595,-1988,1,63,62,62.0808,81.1826,0,No,663.31,0
202,-1154,1168,1,16,15,12.6013,16.4786,0,Yes,134.64,0
