SIMULATION SUMMARY
MapName,RoutingAlgorithm,Version,TotalVehicles,LateVehicles,TotalTravelTime,AvgTravelTime,TotalTimeWindowDeviation,AvgTimeWindowDeviation,TotalAlgorithmTime,AvgAlgorithmTime,ObjectiveFunctionValue,Timestamp
erlangen,ShortestPath,2.0,16,9,1752,109.5,286.24,17.89,0.0446316,0.00278948,2038.24,2025-06-15 07:59:04

VEHICLE STATISTICS
VehicleID,StartRoad,TargetRoad,StartTime,EndTime,TravelTime,EarliestArrival,LatestArrival,TimeWindowDeviation,ArrivedOnTime,PathLength
16,873,462,1,164,163,89.5193,134.279,29.721,No,1135.63
22,60,2149,1,129,128,82.1679,123.252,5.74818,No,1268.47
28,-831,2228,1,121,120,108.556,162.834,0,Yes,1285.18
34,-592,-1242,1,145,144,118.592,177.888,0,Yes,1434.55
40,-588,587,1,36,35,26.5391,39.8087,0,Yes,356.26
46,-1755,1168,1,161,160,124.408,186.612,0,Yes,1649.4
52,2151,79,1,67,66,113.705,170.557,46.7048,No,1376.5
58,831,68,1,113,112,61.3928,92.0892,20.9108,No,901.83
64,-5,-1474,1,111,110,80.6757,121.014,0,Yes,1072.38
70,474,854,1,103,102,82.5488,123.823,0,Yes,1165.1
76,109,-1212,1,179,178,86.8811,130.322,48.6784,No,1207.7
82,58,-1595,1,127,126,75.3989,113.098,13.9017,No,1130.55
88,-3,229,1,87,86,63.8471,95.7707,0,Yes,868.31
94,583,-1988,1,94,93,49.5633,74.345,19.655,No,995.59
100,-2182,-1722,1,37,36,128.219,192.328,91.2185,No,1627.24
106,64,-1168,1,94,93,56.1986,84.2979,9.70206,No,895.41
