VehicleID,StartRoad,TargetRoad,StartTime,EndTime,TravelTime,EarliestArrival,LatestArrival,TimeWindowDeviation,ArrivedOnTime,PathLength,AlgorithmTime
16,873,1204,1,55,54,38.7323,50.65,4.35004,No,413.84,0
22,60,-23,1,33,32,26.3145,34.4112,0,Yes,281.16,0
28,-831,3,1,70,69,65.0468,85.0612,0,Yes,695,0
34,-592,-43,1,37,36,35.2479,46.0934,0,Yes,376.61,0.0009992
40,-588,-1257,1,98,97,71.0807,92.9517,5.04831,No,759.47,0
46,-1755,-1610,1,19,18,15.366,20.094,0,Yes,164.18,0
52,2151,-2151,1,67,66,20.2216,26.4436,40.5564,No,216.06,0
58,-5,23,1,30,29,22.2376,29.0799,0.920086,Yes,237.6,0
64,474,-2232,1,50,49,49.458,64.6759,0,No,528.44,0
70,109,199,1,76,75,67.2706,87.9692,0,Yes,718.76,0
76,58,202,1,60,59,51.7258,67.6414,0,Yes,552.67,0
82,-3,-1259,1,95,94,86.5852,113.227,0,Yes,925.13,0.0012557
88,583,-1956,1,37,36,35.4192,46.3174,0,Yes,378.44,0
94,-2182,2020,1,49,48,51.4506,67.2816,2.45061,No,549.73,0
100,-219,-190,1,27,26,28.2172,36.8994,1.21721,No,301.49,0
106,-172,-148,1,16,15,14.1737,18.5348,0,Yes,151.44,0
112,1992,-1992,1,35,34,36.9915,48.3735,1.9915,No,395.24,0
118,144,-196,1,98,97,67.1002,87.7464,10.2536,No,716.94,0
124,162,2228,1,87,86,90.3692,118.175,3.36919,No,965.56,0
130,31,1178,1,95,94,81.7868,106.952,0,Yes,873.86,0.0010055
136,-854,-1725,1,133,132,81.7315,106.88,26.1203,No,873.27,0
142,45,55,1,27,26,18.9019,24.7179,2.28207,No,201.96,0
148,-37,-1178,1,112,111,86.0106,112.475,0,Yes,918.99,0
154,92,-92,1,38,37,30.3483,39.6862,0,Yes,324.26,0
160,-1774,2232,1,44,43,40.5293,52.9999,0,Yes,433.04,0
166,1469,-1204,1,49,48,50.5662,66.125,1.56616,No,540.28,0.0009991
172,-865,1988,1,110,109,104.926,137.21,0,Yes,1121.09,0
178,879,-214,1,56,55,51.6677,67.5655,0,Yes,552.05,0
184,865,-1988,1,143,142,114.46,149.678,0,Yes,1222.96,0
190,1148,1257,1,315,314,161.383,211.04,103.96,No,1724.32,0
196,1597,2199,1,58,57,58.1453,76.0361,0.145284,No,621.26,0.001002
202,-1595,-1614,1,175,174,153.035,200.123,0,Yes,1635.12,0
208,-1154,1614,1,184,183,148.842,194.64,0,Yes,1590.32,0
